nom,longitude,latitude,nb,A,B,C,D,F1,F2
Mermoz - Pinel,4.8883276,45.730988,1,0,0,0,1,0,0
Grange Blanche,4.8791513,45.743347,1,0,0,0,1,0,0
Brotteaux,4.8589654,45.76676,1,0,1,0,0,0,0
Garibaldi,4.8531337,45.751926,1,0,0,0,1,0,0
Gare d'Oullins,4.814345,45.71654,1,0,1,0,0,0,0
Vaulx-en-Velin La Soie,4.9214773,45.761093,1,1,0,0,0,0,0
Gare Part-Dieu V.Merle,4.8582606,45.76166,1,0,1,0,0,0,0
Vieux Lyon,4.8263383,45.759983,3,0,0,0,1,1,1
Debourg,4.833852,45.73156,1,0,1,0,0,0,0
Place Jean Jaurès,4.837712,45.738018,1,0,1,0,0,0,0
République Villeurbanne,4.873228,45.77074,1,1,0,0,0,0,0
Gare de Vénissieux,4.8880067,45.70614,1,0,0,0,1,0,0
Ampère - Victor Hugo,4.829041,45.753036,1,1,0,0,0,0,0
Jean Macé,4.8429008,45.74674,1,0,1,0,0,0,0
Fourvière,4.8214703,45.762386,1,0,0,0,0,0,1
Masséna,4.852909,45.769615,1,1,0,0,0,0,0
Valmy,4.80517,45.775204,1,0,0,0,1,0,0
Parilly,4.8874135,45.71962,1,0,0,0,1,0,0
St-Genis-Laval Hôp. Sud,4.80467,45.701195,1,0,1,0,0,0,0
Minimes Théâtres Romains,4.8211966,45.758293,1,0,0,0,0,1,0
Sans Souci,4.864571,45.74793,1,0,0,0,1,0,0
Guillotière Gabriel Péri,4.8423944,45.75563,1,0,0,0,1,0,0
Cusset,4.8998804,45.765835,1,1,0,0,0,0,0
Foch,4.844093,45.76881,1,1,0,0,0,0,0
Bellecour,4.83184,45.757042,2,1,0,0,1,0,0
Flachet,4.890064,45.767643,1,1,0,0,0,0,0
Croix-Paquet,4.836305,45.77084,1,0,0,1,0,0,0
Gare de Vaise,4.804173,45.779785,1,0,0,0,1,0,0
Saxe - Gambetta,4.8470197,45.75374,2,0,1,0,1,0,0
Gratte Ciel,4.8816547,45.769207,1,1,0,0,0,0,0
Cordeliers,4.8356805,45.762802,1,1,0,0,0,0,0
Oullins Centre,4.805022,45.714092,1,0,1,0,0,0,0
Laënnec,4.886116,45.73896,1,0,0,0,1,0,0
Perrache,4.82688,45.74997,1,1,0,0,0,0,0
St-Just,4.8161297,45.75721,1,0,0,0,0,1,0
Hôtel de Ville L. Pradel,4.8360963,45.766933,2,1,0,1,0,0,0
Monplaisir Lumière,4.8710394,45.745697,1,0,0,0,1,0,0
Hénon,4.8274446,45.779102,1,0,0,1,0,0,0
Cuire,4.8324065,45.785046,1,0,0,1,0,0,0
Gorge de Loup,4.8055167,45.766773,1,0,0,0,1,0,0
Stade de Gerland Le LOU,4.831254,45.727154,1,0,1,0,0,0,0
Croix-Rousse,4.832042,45.774467,1,0,0,1,0,0,0
Place Guichard,4.8475957,45.759502,1,0,1,0,0,0,0
Charpennes,4.864195,45.770763,2,1,1,0,0,0,0
Laurent Bonnevay,4.908847,45.764023,1,1,0,0,0,0,0
